MainImage,Title,DataFilter,PlaceFilter,Subtitle,DramaPlace,Dialogue,Place,Address,LatitudeValue,LongitudeValue
1_01_01.jpg,나는 토요일마다 그 애를 보러 간다,1,1,전주,희도네,"""누가 배상하래?""<br>""그럼 뭘 하라는 건데.""<br>""모르지, 난 그냥 화를 내고 싶었어. 화가 나니까. 조심히 가.""",전주크로싱게스트하우스,전라북도 전주시 완산구 오목대길 5-19,35.813167,127.155306
1_02_01.jpg,"토요일 다음으로 기다리는 건, 풀 하우스",1,2,전주,명진책대여점,"“잠깐만, 이름이 뭐야? 대여 기록 남겨야 돼서.”<br>“희도, 나희도. 넌 이름이 뭔데? 그냥 묻는 거야. 통성명이 예의니까.”<br>“백이진”<br>“신문 사절은 취소야, 백이진.”",소리방앗간,전라북도 전주시 완산구 서학3길 63,35.808312,127.151849
1_03_01.jpg,난 니가 뭘 함부로 해서 좋아,1,3,전주,아현슈퍼,"""너 보면 내 생각이 나. 열여덟의 나 같아.""<br>""돌아가고 싶어?""<br>""절실해.""<br>""뭐가 제일 그리운데?""<br>""그냥 그 때의 걱정들이 그리워.""",동네수퍼,전라북도 전주시 완산구 남고산성1길,35.806452,127.157873
1_04_01.jpg,오늘까지만 서툴겠습니다,1,4,전주,이진 신문배달 골목길,"""저 이 동네도 처음이고 신문 배달도 처음이에요. ""<br>""그래서요?""<br>""누구에게나 처음은 있잖아요. 그 처음이 오늘이니까 오늘까지만 서툴겠습니다. 내일부턴 늦지 않을게요.""",싸목싸목게스트하우스,전라북도 전주시 완산구 향교길 97-18,35.812434,127.155443
1_05_01.jpg,나 이거 보고 있으면 행복해져,1,5,전주,선중여고 수돗가,"""어때? 신나지! 기분 엄청 좋아지지 않아? 나 이거 보고 있으면 행복해져. 왜? 별로야?""<br>""하나 갖곤 별로 안 행복한데.""<br>""역시 어른은 스케일이 다르구나. 이거 다 튼다고는 생각도 못했어.""<br>""이제 좀 신이 나네.""<br>""좀 신이 나는 정도가 아니라니까. 너무 행복하지 않아?""",전주제일고등학교,전라북도 전주시 완산구 관선5길 15,35.821701,127.158122
1_06_01.jpg,멀리서 지켜볼 때가 더 가까웠던 거 같아,1,6,전주,태양고등학교 버스정류장,"""오히려 멀리서 지켜볼 때가 더 가까웠던 거 같아.""<br><br>“이젠 안 두렵지? 우리 많이 친해졌잖아.”<br>“아니. 난 여전히 네가 두려워, 나희도.”",국립무형유산원,전라북도 전주시 완산구 서학로 95,35.809249,127.158192
1_07_01.jpg,아무도 몰래 잠깐만 행복하자,1,7,전주,행복 약속과 이별,"""둘이 있을 땐 아무도 몰래 잠깐만 행복하자.이건 우리 둘만의 비밀이야.""<br><br>""안녕, 백이진.""<br>""안녕, 나희도.""<br>'우리의 시대였다. 사랑도 우정도 잠시 가졌다고 착각했다. 지나고 보면 모든 게 연습이었던 날들. 함부로 영원을 이야기했던 순간들. 나는 그 착각이 참 좋았다. 그래도 가질 수 있었던 것이 하나 있었지. 그해 여름은 우리의 것이었다.'",한벽굴,전라북도 전주시 완산구 교동,35.811977,127.161041
1_08_01.jpg,이따 문방구 가자,1,8,전주,뽑기 문구점,"""앞으로의 네 운을 시험해 보는 거지. 기회는 총 6번이야, 골라봐.""",부부문구서점,전라북도 전주시 완산구 거마남로 70,35.795395,127.124411
1_09_01.jpg,만들고 싶은 의자가 있어요,1,9,전주,희도의 목공 배움 장소,"""만들고 싶은 의자가 있어요. 가르쳐 주세요.""<br><br>""사장님, 저 의자 뭐에요? 이게 왜 여기 있어요?""<br>""아 저거? 너 신재경 알아? 뉴스 진행하는 사람. 그 사람이 맡기고 간 의자야.""",명성목공소,전라북도 전주시 덕진구 건산로 148,35.833144,127.153414
1_10_01.jpg,"지웅아, 너 장갑",1,10,전주,유림-지웅 오락실 데이트,"""지웅아, 너 장갑.""<br>""아, 맞다. 고마워.""",맹꽁이오락실,전라북도 전주시 완산구 기린대로,35.819549,127.153417
